bundesland,diesel,e5,e10,date
Bayern,2.2291684482198018,2.1624242806047795,2.0274700658429525,2022-03-17 00:00:00
Berlin,2.238694113019536,2.175355972204012,2.1058732135833225,2022-03-17 00:00:00
Brandenburg,2.218682392026578,2.1291129568106317,2.0306299952539155,2022-03-17 00:00:00
Bremen,2.226549334557136,2.2214603028912343,2.131736117485085,2022-03-17 00:00:00
Hamburg,2.204623387790198,2.1962674118658643,2.1086570937231297,2022-03-17 00:00:00
Hessen,2.201529892950919,2.145550191880428,2.031935366592608,2022-03-17 00:00:00
Mecklenburg-Vorpommern,2.193081324333012,2.058992714025501,1.9432180435015536,2022-03-17 00:00:00
Niedersachsen,2.206720541084509,2.1338477848767816,1.943732617192071,2022-03-17 00:00:00
Nordrhein-Westfalen,2.2011684538348804,2.1387700659501707,2.0437506717147045,2022-03-17 00:00:00
Rheinland-Pfalz,2.1640280100035727,2.128494462307967,2.0431682743837083,2022-03-17 00:00:00
Saarland,2.162254399585921,2.1305564182194616,2.025286749482402,2022-03-17 00:00:00
Sachsen,2.20403760552571,2.1333483627526224,2.0253977359938604,2022-03-17 00:00:00
Sachsen-Anhalt,2.197296942083589,2.105599929904495,1.9501817225970384,2022-03-17 00:00:00
Schleswig-Holstein,2.216004541213064,2.1541478693623635,1.9821965785381028,2022-03-17 00:00:00
Thüringen,2.229795407304761,2.1420605760665152,1.9676591111551025,2022-03-17 00:00:00
bundesweit,2.2084090541655748,2.143965229367876,2.022360107705871,2022-03-17 00:00:00
Baden-Württemberg,2.173886150863498,2.116890564016224,2.025965026402388,2022-03-18 00:00:00
Bayern,2.194726006226622,2.122124935605976,1.996811723072099,2022-03-18 00:00:00
Berlin,2.1817757009345797,2.121047565908774,2.054667736085926,2022-03-18 00:00:00
Brandenburg,2.162717580416751,2.0764790612988064,1.9758126643738625,2022-03-18 00:00:00
Bremen,2.1711928771508604,2.1501524609843936,2.0685386154461787,2022-03-18 00:00:00
Hamburg,2.135782547002483,2.137623625399078,2.0494322454771194,2022-03-18 00:00:00
Hessen,2.160320351469573,2.1050649221088173,1.9955266288082265,2022-03-18 00:00:00
Mecklenburg-Vorpommern,2.1372633754048924,2.0097474589523063,1.899606277225511,2022-03-18 00:00:00
Niedersachsen,2.1581418394243785,2.081017358884852,1.9004308138016195,2022-03-18 00:00:00
